customer_id,transaction_date,amount,product_category,payment_method,is_anomaly
user_452,2023-03-22 11:50:00,10095.76,Дебетовая карта,карта,0
user_1180,2023-11-22 11:51:00,5757.43,Вклад,Google Pay,0
user_423,2024-03-17 13:27:00,1440.6,Дебетовая карта,криптовалюта,0
user_746,2023-10-28 10:53:00,2386.49,Вклад,Apple Pay,0
user_1927,2023-02-26 18:34:00,2259.92,Вклад,карта,0
user_392,2023-03-01 14:17:00,5155.0,Кредит,карта,0
user_1772,2024-03-02 15:22:00,1892.59,Дебетовая карта,Google Pay,0
user_1627,2023-05-01 10:30:00,2857.64,Кредит,Google Pay,0
user_733,2023-08-20 20:38:00,840.55,Кредит,Apple Pay,0
user_743,2023-07-26 13:15:00,3438.44,Вклад,Google Pay,0
user_12,2023-10-22 10:00:00,1299.19,Вклад,карта,0
user_1582,2024-02-14 09:13:00,2167.74,Кредит,Apple Pay,0
user_1333,2023-09-12 11:40:00,2510.53,Кредит,карта,0
user_1967,2023-09-08 09:27:00,571.09,Ипотека,банковский перевод,0
user_584,2024-01-13 13:40:00,1226.08,Дебетовая карта,карта,0
user_798,2023-09-21 14:34:00,5988.8,Вклад,карта,0
user_1374,2023-08-10 09:26:00,1770.15,Кредит,карта,0
user_682,2023-07-08 18:43:00,2541.5,Вклад,банковский перевод,0
user_638,2023-09-19 13:37:00,710.04,Страхование,банковский перевод,0
user_341,2024-03-29 19:14:00,11135.88,Кредит,Google Pay,0
user_1977,2023-05-08 14:39:00,7809.89,Дебетовая карта,карта,0
user_951,2023-11-03 18:32:00,2217.1,Кредит,Apple Pay,0
user_1540,2024-01-11 09:13:00,572.56,Кредит,Google Pay,0
user_1309,2023-08-22 15:57:00,4913.73,Вклад,карта,1
user_1199,2023-10-28 13:35:00,1744.47,Вклад,карта,0
user_626,2023-02-22 13:01:00,1231.11,Вклад,карта,0
user_631,2023-03-10 13:00:00,2274.11,Дебетовая карта,карта,0
user_972,2023-03-26 19:50:00,28764.11,Дебетовая карта,карта,1
user_271,2023-09-16 20:01:00,1526.34,Дебетовая карта,карта,0
user_1075,2024-03-03 14:22:00,1024.01,Дебетовая карта,Apple Pay,0
user_182,2023-12-26 14:36:00,5639.68,Кредит,Google Pay,0
user_551,2023-05-24 15:07:00,2201.75,Кредит,криптовалюта,0
user_1267,2023-04-08 15:56:00,1625.81,Ипотека,карта,0
user_48,2023-03-26 15:03:00,2195.39,Кредит,карта,0
user_90,2023-08-19 19:20:00,1510.43,Дебетовая карта,карта,0
user_432,2023-12-30 13:55:00,2014.85,Дебетовая карта,Apple Pay,0
user_1512,2023-10-14 12:15:00,3938.39,Страхование,карта,0
user_1607,2024-02-01 14:23:00,1024.99,Страхование,криптовалюта,0
user_2,2023-09-24 09:11:00,1513.35,Страхование,карта,0
user_557,2023-07-28 12:33:00,4008.93,Дебетовая карта,Apple Pay,0
user_114,2023-06-08 14:46:00,1664.64,Кредит,карта,0
user_28,2023-12-24 12:21:00,3845.96,Инвестиции,карта,0
user_1885,2023-10-19 20:32:00,821.63,Инвестиции,Google Pay,0
user_850,2023-02-03 16:43:00,2238.88,Ипотека,карта,0
user_1591,2024-03-02 20:41:00,658.91,Инвестиции,карта,0
user_1365,2023-09-09 11:52:00,2355.04,Дебетовая карта,Google Pay,1
user_900,2023-08-05 17:44:00,678.18,Кредит,карта,0
user_1505,2023-01-07 13:40:00,1758.92,Вклад,Apple Pay,0
user_498,2023-08-04 16:33:00,3223.64,Вклад,Google Pay,0
user_828,2023-01-01 12:24:00,2265.55,Кредит,банковский перевод,0
user_758,2023-06-25 09:01:00,3091.73,Вклад,Google Pay,0
user_1144,2023-05-14 19:59:00,16978.76,Ипотека,карта,0
user_422,2024-01-16 20:55:00,659.83,Кредит,Apple Pay,0
user_1492,2023-11-08 10:22:00,7242.77,Дебетовая карта,Apple Pay,0
user_1684,2023-12-01 13:16:00,619.66,Дебетовая карта,карта,0
user_1779,2023-01-18 13:20:00,2221.63,Кредит,Google Pay,0
user_1789,2024-01-06 18:06:00,4574.06,Страхование,карта,0
user_1280,2023-08-25 19:28:00,923.26,Страхование,Apple Pay,0
user_1596,2024-03-11 10:19:00,5584.12,Кредит,карта,0
user_1382,2024-02-23 17:16:00,1263.82,Инвестиции,карта,1
user_1907,2024-02-10 13:47:00,637.58,Дебетовая карта,карта,0
user_198,2023-05-31 13:19:00,517.14,Вклад,карта,0
user_397,2023-06-16 16:48:00,836.85,Вклад,банковский перевод,0
user_841,2023-10-13 09:35:00,4325.43,Инвестиции,Google Pay,0
user_1242,2023-07-16 09:19:00,2013.71,Кредит,карта,0
user_1778,2024-03-17 13:42:00,2278.16,Вклад,карта,0
user_190,2023-04-01 19:48:00,1944.52,Вклад,криптовалюта,0
user_322,2023-03-14 17:55:00,2420.02,Инвестиции,Apple Pay,0
user_1722,2024-02-16 17:43:00,33758.23,Страхование,карта,1
user_620,2023-08-16 10:01:00,1018.95,Ипотека,Apple Pay,1
user_34,2023-05-14 12:54:00,4645.07,Кредит,карта,0
user_1356,2024-01-17 12:22:00,1130.99,Дебетовая карта,карта,0
user_1756,2023-12-05 17:53:00,932.35,Дебетовая карта,карта,0
user_1805,2023-11-29 17:46:00,4409.56,Дебетовая карта,Google Pay,0
user_1709,2024-02-11 13:15:00,3566.89,Инвестиции,карта,0
user_119,2024-02-18 10:17:00,4342.75,Дебетовая карта,карта,0
user_270,2023-03-03 19:55:00,694.73,Кредит,криптовалюта,0
user_1741,2023-07-13 10:14:00,790.26,Вклад,карта,0
user_1386,2023-09-21 13:45:00,2683.54,Кредит,карта,0
user_441,2023-12-30 14:36:00,2110.16,Кредит,карта,0
user_776,2023-01-29 10:20:00,1592.1,Страхование,карта,1
user_1722,2023-02-26 09:41:00,3086.99,Инвестиции,Google Pay,0
user_1858,2023-01-11 11:43:00,5699.79,Дебетовая карта,Apple Pay,0
user_1779,2023-04-05 11:44:00,3104.85,Вклад,карта,0
user_921,2023-01-11 12:32:00,70744.07,Дебетовая карта,карта,0
user_1551,2023-02-01 16:25:00,1206.32,Кредит,Apple Pay,0
user_91,2023-05-22 15:02:00,1028.54,Дебетовая карта,криптовалюта,0
user_1848,2023-10-01 14:03:00,883.43,Кредит,карта,0
user_444,2023-12-24 14:04:00,4179.88,Инвестиции,Apple Pay,0
user_1923,2023-06-13 17:26:00,6101.89,Страхование,криптовалюта,0
user_33,2023-06-26 09:03:00,3125.63,Кредит,карта,0
user_1851,2023-05-15 12:38:00,647.32,Кредит,Google Pay,0
user_1054,2023-08-03 10:39:00,1111.74,Кредит,Apple Pay,0
user_1027,2024-03-12 19:59:00,560.75,Ипотека,карта,0
user_1354,2023-08-07 13:03:00,9271.56,Инвестиции,банковский перевод,0
user_928,2023-11-06 14:38:00,1487.13,Инвестиции,Google Pay,0
user_1902,2023-05-18 11:41:00,751.56,Дебетовая карта,карта,0
user_211,2023-06-26 15:58:00,2919.54,Инвестиции,Apple Pay,0
user_1313,2023-05-09 10:42:00,1135.07,Вклад,карта,0
user_433,2023-09-19 13:35:00,7526.64,Кредит,карта,0
user_75,2024-02-25 11:47:00,2924.29,Дебетовая карта,криптовалюта,0
user_1305,2023-09-01 18:55:00,3215.82,Дебетовая карта,Apple Pay,0
user_1356,2023-03-14 10:00:00,2395.18,Дебетовая карта,карта,0
user_255,2023-03-28 13:15:00,885.68,Кредит,криптовалюта,0
user_1454,2024-01-10 18:21:00,696.29,Дебетовая карта,карта,0
user_1885,2023-09-20 12:30:00,1740.39,Вклад,карта,0
user_1391,2023-05-13 18:13:00,6690.94,Кредит,карта,0
user_455,2024-03-21 20:11:00,526.11,Кредит,криптовалюта,0
